Confirmed,CountryReg,Deaths,LastUpdate,Latitude,Longitude,Province,Recovered,week,Recovery_Percentage,Death_Percentage,Percent_of_change_over_last_day,No_Of_Days
1,India,0,1/30/2020,0,0,0,0,5,0,0,0,0
1,India,0,1/31/2020,0,0,0,0,5,0,0,0,1
1,India,0,1/31/2020,0,0,0,0,5,0,0,0,2
2,India,0,2/2/2020,0,0,0,0,5,0,0,100,3
3,India,0,2/3/2020,0,0,0,0,6,0,0,50,4
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,5
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,6
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,7
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,8
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,9
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,10
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,11
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,12
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,13
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,14
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,15
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,16
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,17
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,18
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,19
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,20
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,21
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,22
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,23
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,24
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,25
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,26
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,27
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,28
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,29
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,30
3,India,0,2/16/2020,21,78,0,3,7,100,0,0,31
5,India,0,3/2/2020,21,78,0,3,10,60,0,67,32
5,India,0,3/2/2020,21,78,0,3,10,60,0,0,33
28,India,0,3/4/2020,21,78,0,3,10,11,0,460,34
30,India,0,3/5/2020,21,78,0,3,10,10,0,7,35
31,India,0,3/6/2020,21,78,0,3,10,10,0,3,36
34,India,0,3/7/2020,21,78,0,3,10,9,0,10,37
39,India,0,3/8/2020,21,78,0,3,10,8,0,15,38
43,India,0,3/9/2020,21,78,0,3,11,7,0,10,39
56,India,0,3/10/2020,21,78,0,4,11,7,0,30,40
62,India,1,3/11/2020,21,78,0,4,11,6,2,11,41
82,India,2,3/11/2020,20.5937,78.9629,0,4,11,5,2,32,42
73,India,1,3/12/2020,21,78,0,4,11,5,1,-11,43
102,India,2,3/14/2020,20.5937,78.9629,0,4,11,4,2,40,44
113,India,2,3/15/2020,20.5937,78.9629,0,13,11,12,2,11,45
119,India,2,3/16/2020,20.5937,78.9629,0,13,12,11,2,5,46
142,India,3,3/17/2020,20.5937,78.9629,0,14,12,10,2,19,47
156,India,3,3/18/2020,20.5937,78.9629,0,14,12,9,2,10,48
194,India,4,3/19/2020,20.5937,78.9629,0,15,12,8,2,24,49
244,India,5,3/20/2020,20.5937,78.9629,0,20,12,8,2,26,50
330,India,4,3/21/2020,20.5937,78.9629,0,23,12,7,1,35,51
396,India,7,3/22/2020,20.5937,78.9629,0,27,12,7,2,20,52
499,India,10,3/23/2020,20.593684,78.96288,0,34,13,7,2,26,53
536,India,10,3/24/2020,20.593684,78.96288,0,40,13,7,2,7,54
657,India,12,3/25/2020,20.593684,78.96288,0,43,13,7,2,23,55
727,India,20,3/26/2020,20.593684,78.96288,0,45,13,6,3,11,56
887,India,20,3/27/2020,20.593684,78.96288,0,73,13,8,2,22,57
987,India,24,3/28/2020,20.593684,78.96288,0,84,13,9,2,11,58
1024,India,27,3/29/2020,20.593684,78.96288,0,95,13,9,3,4,59
1251,India,32,3/30/2020,20.593684,78.96288,0,102,14,8,3,22,60
1397,India,35,3/31/2020,20.593684,78.96288,0,123,14,9,3,12,61
1998,India,58,4/1/2020,20.593684,78.96288,0,148,14,7,3,43,62
2543,India,72,4/2/2020,20.593684,78.96288,0,191,14,8,3,27,63
2567,India,72,4/3/2020,20.593684,78.96288,0,192,14,7,3,1,64
3082,India,86,4/4/2020,20.593684,78.96288,0,229,14,7,3,20,65
3588,India,99,4/5/2020,20.593684,78.96288,0,229,14,6,3,16,66
1,India,0,1/30/2020,0,0,0,0,5,0,0,0,0
1,India,0,1/31/2020,0,0,0,0,5,0,0,0,1
1,India,0,1/31/2020,0,0,0,0,5,0,0,0,2
2,India,0,2/2/2020,0,0,0,0,5,0,0,100,3
3,India,0,2/3/2020,0,0,0,0,6,0,0,50,4
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,5
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,6
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,7
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,8
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,9
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,10
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,11
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,12
3,India,0,2/3/2020,0,0,0,0,6,0,0,0,13
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,14
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,15
3,India,0,2/13/2020,0,0,0,0,7,0,0,0,16
3,India,0,2/16/2020,21,78,0,3,7,100,0,0,17
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,18
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,19
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,20
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,21
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,22
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,23
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,24
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,25
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,26
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,27
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,28
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,29
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,30
3,India,0,2/16/2020,0,0,0,3,7,100,0,0,31
5,India,0,3/2/2020,21,78,0,3,10,60,0,67,32
5,India,0,3/2/2020,21,78,0,3,10,60,0,0,33
28,India,0,3/4/2020,21,78,0,3,10,11,0,460,34
30,India,0,3/5/2020,21,78,0,3,10,10,0,7,35
31,India,0,3/6/2020,21,78,0,3,10,10,0,3,36
34,India,0,3/7/2020,21,78,0,3,10,9,0,10,37
39,India,0,3/8/2020,21,78,0,3,10,8,0,15,38
43,India,0,3/9/2020,21,78,0,3,11,7,0,10,39
56,India,0,3/10/2020,21,78,0,4,11,7,0,30,40
62,India,1,3/11/2020,21,78,0,4,11,6,2,11,41
82,India,2,3/11/2020,20.5937,78.9629,0,4,11,5,2,32,42
73,India,1,3/12/2020,21,78,0,4,11,5,1,-11,43
102,India,2,3/14/2020,20.5937,78.9629,0,4,11,4,2,40,44
113,India,2,3/15/2020,20.5937,78.9629,0,13,11,12,2,11,45
119,India,2,3/16/2020,20.5937,78.9629,0,13,12,11,2,5,46
142,India,3,3/17/2020,20.5937,78.9629,0,14,12,10,2,19,47
156,India,3,3/18/2020,20.5937,78.9629,0,14,12,9,2,10,48
194,India,4,3/19/2020,20.5937,78.9629,0,15,12,8,2,24,49
244,India,5,3/20/2020,20.5937,78.9629,0,20,12,8,2,26,50
330,India,4,3/21/2020,20.5937,78.9629,0,23,12,7,1,35,51
396,India,7,3/22/2020,20.5937,78.9629,0,27,12,7,2,20,52
499,India,10,3/23/2020,20.593684,78.96288,0,34,13,7,2,26,53
536,India,10,3/24/2020,20.593684,78.96288,0,40,13,7,2,7,54
657,India,12,3/25/2020,20.593684,78.96288,0,43,13,7,2,23,55
727,India,20,3/26/2020,20.593684,78.96288,0,45,13,6,3,11,56
887,India,20,3/27/2020,20.593684,78.96288,0,73,13,8,2,22,57
987,India,24,3/28/2020,20.593684,78.96288,0,84,13,9,2,11,58
1024,India,27,3/29/2020,20.593684,78.96288,0,95,13,9,3,4,59
1251,India,32,3/30/2020,20.593684,78.96288,0,102,14,8,3,22,60
1397,India,35,3/31/2020,20.593684,78.96288,0,123,14,9,3,12,61
1998,India,58,4/1/2020,20.593684,78.96288,0,148,14,7,3,43,62
2543,India,72,4/2/2020,20.593684,78.96288,0,191,14,8,3,27,63
2567,India,72,4/3/2020,20.593684,78.96288,0,192,14,7,3,1,64
3082,India,86,4/4/2020,20.593684,78.96288,0,229,14,7,3,20,65
